,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
146,https://nuforc.org//sighting/?id=179110,10/17/2023 02:00,Middle of the Caspian Sea directly east of Baku,,Unspecified,Light,Two commercial airline pilots saw a light 150km away that was still then suddenly accelerated at incredible speed and disappeared,,,
147,https://nuforc.org//sighting/?id=178905,10/16/2023 08:58,,AR,USA,Cylinder,Lower altitude flyby of Allegiant Flight 3145 on a 180 flight trajectory.,,,
148,https://nuforc.org//sighting/?id=179255,10/14/2023 04:00,Austin,TX,USA,Unknown,"Perfectly silent craft drifts to the east, bright light seen, object came to a standstill several times",,,
149,https://nuforc.org//sighting/?id=178957,10/13/2023 19:03,Green Valley,AZ,USA,Orb,A very bright glowing white orb passed near our house and jetted into infinity without making a sound.,,,
150,https://nuforc.org//sighting/?id=178866,10/13/2023 19:00,"Sonoita, Arizona",AZ,USA,Light,"Bright light lasting for 5 to 6 total Mississippi seconds flew east to west through clouds, and disappeared, ridiculous speed no sound.",,,
151,https://nuforc.org//sighting/?id=178899,10/12/2023 23:40,Carrollton,TX,USA,Unknown,A blinding light shown down on my house even though there was no storm/ rain event. The light was blinding and illuminated my yard,,,
152,https://nuforc.org//sighting/?id=178843,10/12/2023 20:35,Waynesfield,OH,USA,Triangle,"Huge, triangular craft, bright strobing lights down each side",,,
153,https://nuforc.org//sighting/?id=178720,10/09/2023 03:30,Idaho Falls,ID,USA,Triangle,"Orange lights in the sky with smooth but random movement that joined in formation to form a triangle, then accelerated away from us.",,,
154,https://nuforc.org//sighting/?id=178844,10/08/2023 19:37,Powell Butte,OR,USA,Disk,Large disk,,,
155,https://nuforc.org//sighting/?id=178742,10/07/2023 21:10,Springfield,OR,USA,Chevron,12 or more dim lights in a perfect chevron or boomerang shape,,,
156,https://nuforc.org//sighting/?id=178820,10/06/2023 23:03,Brighton,MO,USA,Triangle,Three brilliantly white Lights hovering in the sky,,,
157,https://nuforc.org//sighting/?id=178700,10/06/2023 05:10,Worthing,England,United Kingdom,Unknown,Alien like figures in my flat,,,
158,https://nuforc.org//sighting/?id=178827,10/05/2023 23:00,Chicago,IL,USA,Light,Lights maneuvering rapidly at extreme altitude,,,
159,https://nuforc.org//sighting/?id=178768,10/05/2023 22:31,Parker,CO,USA,Cylinder,"It was orange object it was massive, it looked similar to a plane but definitely not a plane, it had a giant sphere in the middle.",,,
160,https://nuforc.org//sighting/?id=178947,10/05/2023 22:30,Chattanooga,TN,USA,Triangle,Triangle shaped object glowing green along the edges sighted for approx 15sec before vision being blocked by buildings.,,,
